"","PID","location","age_pid","loc","age.PIDr","age_adint","sex.BIO","age.BIO","weight","height_stand","height","part_i","part_ii","part_iii","part_i_pr","part_i_te","part_ii_pr","part_ii_te","part_iii_pr","part_iii_te","knox_PR_I","demo_speed_knox","back_noise_knox","beads_PR_I","uncover_time_error_beads","skip_cor_beads","back_noise_beads","cmb_schl.Psurv","cmb_grade.Psurv","cmb_howoft.Psurv","10a_schl_go_often_other","yrs_school","age_yr","sex","AGE","HEIGHT","height2","HTKS_all","HTKS_i_ii","knox_total","beads_total","age_yr2","edu_exposure","bmi","knox_total_z","beads_total_z","HTKS_all_c","HTKS_i_ii_c","age_yr_c","yrs_school_c","bmi_c"
"51","F99D","Brazil",11.1,"cbm",,,"m",11,34.2,,"143",20,20,11,6,"10",5,"10",6,"10","1","0","1","1","0","0","0","y","5 ano","Everyday that is open",,8,11.1,"m",11,143,143,51,40,9,1,11.1,7,16.7245342070517,0.77859912889232,-0.940717285665943,1.13084112149533,4.22429906542056,0.428037383177569,0.738317757009346,-0.14574172810276
"52","CY9J","Brazil",11.2,"cbm",,,"f",11,35,,"149",19,18,15,6,"10",5,"10",6,"10","1","1","0","1","0","0","0","y","5 ano","Everyday that is open",,6,11.2,"f",11,149,149,52,37,0,9,11.2,7,15.7650556281249,-2.425635747703,2.44270286782165,2.13084112149533,1.22429906542056,0.528037383177569,0.738317757009346,-1.1052203070296
"53","EAQT","Brazil",11.2,"cbm",,,"m",11,38.1,,"151",19,18,17,6,"10",5,"10",6,"10","1",,,"1",,,,"y","5 ano","Everyday that is open",,,11.2,"m",11,151,151,54,37,0,5,11.2,7,16.7097934301127,-2.425635747703,0.750992791077854,4.13084112149533,1.22429906542056,0.528037383177569,0.738317757009346,-0.160482505041735
"54","XRKV","Brazil",11.2,"cbm",,,"f",11,26.8,,"139",19,17,20,6,"10",5,"10",6,"10","1","0","0","1","0","0","0","y","5 ano","Everyday that is open",,4.5,11.2,"f",11,139,139,56,36,6,7,11.2,7,13.8709176543657,-0.289479163306119,1.59684782944975,6.13084112149533,0.22429906542056,0.528037383177569,0.738317757009346,-2.99935828078874
"55","D3DB","Brazil",12,"ug",,,"f",12,63.7,,"165",19,14,8,6,"10",5,"10",6,"10","3","0","0","1","0","0","0","y","6 ano","Everyday that is open",,10,12,"f",12,165,165,41,33,5,1,12,8,23.3976124885216,-0.645505260705599,-0.940717285665943,-8.86915887850467,-2.77570093457944,1.32803738317757,1.73831775700935,6.52733655336713
"56","K7QD","Brazil",12.1,"ug",,,"f",12,41.2,,"157",16,14,17,6,"10",5,"10",6,"10","1",,,"1",,,,"y","6 ano","Everyday that is open",,9,12.1,"f",12,157,157,47,30,8,3,12.1,8,16.7146740232869,0.42257303149284,-0.0948622472940447,-2.86915887850467,-5.77570093457944,1.42803738317757,1.73831775700935,-0.155601911867503
"57","GHASP001","Ghana",,,11.9,,"m",12,31.6,134.62,,20,20,16,6,"10",5,"10",6,"10","1",,,"1","0","0","0",,,,,10,11.9,"m",11.9,134.62,134.62,56,40,12,2,11.9,10,17.4368451264492,1.84667742109076,-0.517789766479994,6.13084112149533,4.22429906542056,1.22803738317757,3.73831775700935,0.566569191294786
"58","GHASP002","Ghana",,,11,,"m",11,28.4,140.97,,20,18,20,10,"10",9,"10",19,"10","2",,,"1","1","0","0",,,,,6,11,"m",11,140.97,140.97,58,38,9,5,11,9,14.2910763867141,0.77859912889232,0.750992791077854,8.13084112149533,2.22429906542056,0.32803738317757,2.73831775700935,-2.57919954844036
"59","GHASP006","Ghana",,,12,,"f",12,40.1,152.4,,19,18,11,8,"10",6,"11",7,"10","1",,,"1","0","0","0",,,,,10,12,"f",12,152.4,152.4,48,37,8,3,12,10,17.2653123084024,0.42257303149284,-0.0948622472940447,-1.86915887850467,1.22429906542056,1.32803738317757,3.73831775700935,0.39503637324794
"60","GHASP008","Ghana",,,10.3,,"m",10,24.3,125.73,,20,8,19,8,"10",9,"10",21,"12","1",,,"1","1","0","0",,,,,,10.3,"m",10.3,125.73,125.73,47,28,5,5,10.3,7,15.3719315703094,-0.645505260705599,0.750992791077854,-2.86915887850467,-7.77570093457944,-0.371962616822429,0.738317757009346,-1.49834436484503
"61","GHASP009","Ghana",,,10,,"m",10,28.8,144.78,,4,20,16,,"10",,"10",,"10","1",,,"1","1","0","0",,,,,8,10,"m",10,144.78,144.78,40,24,6,2,10,8,13.739639667645,-0.289479163306119,-0.517789766479994,-9.86915887850467,-11.7757009345794,-0.67196261682243,1.73831775700935,-3.13063626750947
"62","GHASP011","Ghana",,,9.6,,"m",10,32.4,144.78,,19,9,10,10,"10",5,"10",6,"10","1",,,"1",,,,,,,,,9.6,"m",9.6,144.78,144.78,38,28,2,0,9.6,7,15.4570946261006,-1.71358355290404,-1.36364480485189,-11.8691588785047,-7.77570093457944,-1.07196261682243,0.738317757009346,-1.41318130905384
"63","GHASP012","Ghana",,,10,,"f",10,27.3,134.62,,20,19,20,,"10",,"10",,"10","1",,,"1","1","0","0",,,,,6,10,"f",10,134.62,134.62,59,39,1,4,10,6,15.0641098719008,-2.06960965030352,0.328065271891905,9.13084112149533,3.22429906542056,-0.67196261682243,-0.261682242990654,-1.80616606325369
"64","GHASP013","Ghana",,,9.2,,"f",10,29.3,137.16,,18,17,12,8,"10",7,"10",10,"10","1",,,"1","0","0","0",,,,,6,9.2,"f",9.2,137.16,137.16,47,35,9,2,9.2,7,15.5744481584985,0.77859912889232,-0.517789766479994,-2.86915887850467,-0.77570093457944,-1.47196261682243,0.738317757009346,-1.29582777665594
"65","GHASP015","Ghana",,,9.9,,"f",10,32.5,146.05,,20,19,8,,"10",,"10",,"10","1",,,"1","1","0","0",,,,,9,9.9,"f",9.9,146.05,146.05,47,39,8,3,9.9,9,15.236325368681,0.42257303149284,-0.0948622472940447,-2.86915887850467,3.22429906542056,-0.77196261682243,2.73831775700935,-1.63395056647347
"66","GHASP018","Ghana",,,8.4,,"m",9,25.7,133.096,,17,18,16,,"10",,"10",,"10","1",,,"1","0","0","1",,,,,4,8.4,"m",8.4,133.096,133.096,51,35,6,5,8.4,6,14.5078519863933,-0.289479163306119,0.750992791077854,1.13084112149533,-0.77570093457944,-2.27196261682243,-0.261682242990654,-2.36242394876113
"67","GHASP019","Ghana",,,10,,"m",9,26.6,139.192,,20,13,7,8,"9",7,"10",7,"10","1",,,"1","0","0","0",,,,,6,10,"m",10,139.192,139.192,40,33,2,2,10,6,13.7294483124317,-1.71358355290404,-0.517789766479994,-9.86915887850467,-2.77570093457944,-0.67196261682243,-0.261682242990654,-3.14082762272274
"68","GHASP020","Ghana",,,8.8,,"m",9,23.8,129.54,,20,19,4,6,"10",5,"10",6,"10","1",,,"1","0","0","0",,,,,7,8.8,"m",8.8,129.54,129.54,43,39,1,1,8.8,7,14.1830349020175,-2.06960965030352,-0.940717285665943,-6.86915887850467,3.22429906542056,-1.87196261682243,0.738317757009346,-2.68724103313693
"69","GHASP021","Ghana",,,9.3,,"m",9,28.1,134.62,,16,15,20,,"9",,"10",,"10","3",,,"1","0","0","0",,,,,5,9.3,"m",9.3,134.62,134.62,51,31,6,3,9.3,7,15.5055489890261,-0.289479163306119,-0.0948622472940447,1.13084112149533,-4.77570093457944,-1.37196261682243,0.738317757009346,-1.36472694612839
"70","GHASP024","Ghana",,,9.2,,"f",9,32.4,130.81,,20,11,6,6,"11",6,"10",10,"10","1",,,"1","0","0","0",,,,,7,9.2,"f",9.2,130.81,130.81,37,31,8,0,9.2,7,18.9349044924878,0.42257303149284,-1.36364480485189,-12.8691588785047,-4.77570093457944,-1.47196261682243,0.738317757009346,2.06462855733339
"71","GHASP027","Ghana",,,10.9,,"f",11,31.3,142.24,,20,17,19,6,"10",5,"10",6,"10","1",,,"1","0","0","0",,,,,6,10.9,"f",10.9,142.24,142.24,56,37,9,1,10.9,9,15.4703753285058,0.77859912889232,-0.940717285665943,6.13084112149533,1.22429906542056,0.22803738317757,2.73831775700935,-1.39990060664869
"72","GHASP028","Ghana",,,11.3,,"f",11,27.8,135.89,,20,18,19,6,"10",5,"10",6,"10","1",,,"1",,,,,,,,9,11.3,"f",11.3,135.89,135.89,57,38,8,6,11.3,9,15.0546200297571,0.42257303149284,1.1739203102638,7.13084112149533,2.22429906542056,0.628037383177571,2.73831775700935,-1.81565590539732
"73","GHASP029","Ghana",,,11.4,,"f",11,27,137.922,,20,20,7,6,"12",5,"10",6,"10","1",,,"2","0","0","1",,,,,8,11.4,"f",11.4,137.922,137.922,47,40,7,4,11.4,8,14.193734318301,0.0665469340933605,0.328065271891905,-2.86915887850467,4.22429906542056,0.72803738317757,1.73831775700935,-2.67654161685342
"74","GHASP045","Ghana",,,10.2,,"m",11,28.2,129.54,,17,15,10,,"10",,"15",,"10","1",,,"1","0","0","0",,,,,9,10.2,"m",10.2,129.54,129.54,42,32,8,4,10.2,9,16.8051085813821,0.42257303149284,0.328065271891905,-7.86915887850467,-3.77570093457944,-0.471962616822431,2.73831775700935,-0.0651673537723525
"75","GHASP047","Ghana",,,9.7,,"f",10,28.9,134.62,,20,16,16,8,"10",5,"10",10,"10","1",,,"1","0","0","0",,,,,6,9.7,"f",9.7,134.62,134.62,52,36,8,0,9.7,6,15.9469881061514,0.42257303149284,-1.36364480485189,2.13084112149533,0.22429906542056,-0.971962616822431,-0.261682242990654,-0.923287829003092
"76","GHASP048","Ghana",,,11,,"f",10,24.3,129.54,,16,11,2,8,"10",5,"10",8,"10","1",,,"1","1","0","0",,,,,8,11,"f",11,129.54,129.54,29,27,2,1,11,7,14.4809978201271,-1.71358355290404,-0.940717285665943,-20.8691588785047,-8.77570093457944,0.32803738317757,0.738317757009346,-2.38927811502732
"77","GHASP049","Ghana",,,10.3,,"f",10,28.6,137.16,,20,14,14,6,"10",5,"10",6,"10","1",,,"1","0","0","1",,,,,8,10.3,"f",10.3,137.16,137.16,48,34,8,5,10.3,8,15.202362366316,0.42257303149284,0.750992791077854,-1.86915887850467,-1.77570093457944,-0.371962616822429,1.73831775700935,-1.6679135688385
"78","GHASP052","Ghana",,,9.3,,"m",9,26,129.54,,20,19,19,6,"10",7,"10",10,"10","1",,,"1","0","0","0",,,,,5,9.3,"m",9.3,129.54,129.54,58,39,8,2,9.3,7,15.4940717416998,0.42257303149284,-0.517789766479994,8.13084112149533,3.22429906542056,-1.37196261682243,0.738317757009346,-1.37620419345464
"79","GHASP065","Ghana",,,11,,"f",12,31,138.43,,19,18,16,9,"10",5,"10",10,"10","1",,,"1","0","0","0",,,,,7,11,"f",11,138.43,138.43,53,37,5,1,11,7,16.1771218248269,-0.645505260705599,-0.940717285665943,3.13084112149533,1.22429906542056,0.32803738317757,0.738317757009346,-0.693154110327523
"80","GHASP066","Ghana",,,11.8,,"m",12,33.7,148.59,,20,17,4,6,"10",6,"10",6,"10","2","1","1","1","0","0","0",,,,,8,11.8,"m",11.8,148.59,148.59,41,37,2,1,11.8,7,15.2633806619063,-1.71358355290404,-0.940717285665943,-8.86915887850467,1.22429906542056,1.12803738317757,0.738317757009346,-1.60689527324812
"81","GHASP067","Ghana",,,11.7,,"m",12,28.2,134.62,,19,18,20,6,"10",5,"10",6,"10","2","1","1","1","0","0","0",,,,,9,11.7,"m",11.7,134.62,134.62,57,37,7,1,11.7,9,15.5607288786667,0.0665469340933605,-0.940717285665943,7.13084112149533,1.22429906542056,1.02803738317757,2.73831775700935,-1.30954705648773
"82","GHASP068","Ghana",,,12.1,,"f",12.1,31.6,107.442,,20,15,20,8,"10",5,"10",6,"10","1",,,"1","0","0","0",,,,,9,12.1,"f",12.1,107.442,107.442,55,35,5,2,12.1,9,27.3740410778554,-0.645505260705599,-0.517789766479994,5.13084112149533,-0.77570093457944,1.42803738317757,2.73831775700935,10.503765142701
"83","GHASP069","Ghana",,,12.3,,"f",12,31.4,148.59,,19,19,16,7,"10",5,"10",6,"10","1",,,"1","0","0","1",,,,,10,12.3,"f",12.3,148.59,148.59,54,38,5,2,12.3,10,14.2216662547139,-0.645505260705599,-0.517789766479994,4.13084112149533,2.22429906542056,1.62803738317757,3.73831775700935,-2.64860968044054
"84","GHASP070","Ghana",,,12.3,,"f",12,42.5,149.86,,20,11,6,7,"10",5,"10",6,"10","1","1","1","1","0","0","0",,,,,10,12.3,"f",12.3,149.86,149.86,37,31,8,0,12.3,10,18.9241975726123,0.42257303149284,-1.36364480485189,-12.8691588785047,-4.77570093457944,1.62803738317757,3.73831775700935,2.05392163745787
"85","GHASP071","Ghana",,,11.8,,"m",12,31.6,141.478,,17,11,2,6,"10",5,"10",6,"10","1",,,"1","0","0","1",,,,,8,11.8,"m",11.8,141.478,141.478,30,28,5,5,11.8,8,15.7873507924912,-0.645505260705599,0.750992791077854,-19.8691588785047,-7.77570093457944,1.12803738317757,1.73831775700935,-1.08292514266329
"86","GHASP072","Ghana",,,12.1,,"m",12,27.4,133.858,,20,19,20,6,"10",7,"10",6,"10","1","1","1","1","0","0","1",,,,,10,12.1,"m",12.1,133.858,133.858,59,39,6,2,12.1,10,15.2919158388825,-0.289479163306119,-0.517789766479994,9.13084112149533,3.22429906542056,1.42803738317757,3.73831775700935,-1.57836009627199
"87","GHASP073","Ghana",,,12.3,,"m",12,30.2,140.208,,20,16,19,10,"10",13,"10",10,"10","1",,,"1","0","0","0",,,,,10,12.3,"m",12.3,140.208,140.208,55,36,7,1,12.3,10,15.3624808404836,0.0665469340933605,-0.940717285665943,5.13084112149533,0.22429906542056,1.62803738317757,3.73831775700935,-1.50779509467082
"88","DH94","Vanuatu",9.3,"Lenekel",,,"f",9,24.2,129.54,,17,19,18,,,,,,,"1","1","0","1",,,,,,,,4,9.3,"f",,129.54,129.54,54,36,9,3,9.3,4,14.4214052365052,0.77859912889232,-0.0948622472940447,4.13084112149533,0.22429906542056,-1.37196261682243,-2.26168224299065,-2.44887069864925
"89","R2P7","Vanuatu",9.3,"Lenekel",,,"f",9,25.4,132.08,,18,18,16,6,"10",5,"10",6,"10","1","0","1","1",,,,,,,,4,9.3,"f",,132.08,132.08,52,36,6,0,9.3,4,14.5599403624843,-0.289479163306119,-1.36364480485189,2.13084112149533,0.22429906542056,-1.37196261682243,-2.26168224299065,-2.31033557267018
"90","R3FM","Vanuatu",9.5,"Ikunala",,,"m",9,14.5,132.08,,18,14,13,6,"10",5,"10",,,"1","0","0","1","0","0","1",,,,,1,9.5,"m",,132.08,132.08,45,32,4,1,9.5,1,8.31177697858354,-1.00153135810508,-0.940717285665943,-4.86915887850467,-3.77570093457944,-1.17196261682243,-5.26168224299065,-8.55849895657091
"91","RAJ3","Vanuatu",9.5,"Ikunala",,,"f",9,14.4,134.62,,18,17,14,6,"10",5,"10",6,"10","1","2","1","1","0","0","2",,,,,1,9.5,"f",,134.62,134.62,49,35,8,0,9.5,1,7.94590410825535,0.42257303149284,-1.36364480485189,-0.86915887850467,-0.77570093457944,-1.17196261682243,-5.26168224299065,-8.9243718268991
"92","HEWN","Vanuatu",9.7,"Lenekel",,,"m",9,30.9,134.62,,17,16,11,6,"10",5,"10",6,"10","1","0","2","1","0","0","2",,,,,4,9.7,"m",,134.62,134.62,44,33,7,4,9.7,4,17.0505858989646,0.0665469340933605,0.328065271891905,-5.86915887850467,-2.77570093457944,-0.971962616822431,-2.26168224299065,0.180309963810153
"93","JE9K","Vanuatu",10.1,"Lenekel",,,"f",10,28.3,137.16,,19,15,15,6,"10",5,"10",12,"10","1","1","1","1",,,,,,,,4,10.1,"f",,137.16,137.16,49,34,7,0,10.1,4,15.0428970268091,0.0665469340933605,-1.36364480485189,-0.86915887850467,-1.77570093457944,-0.571962616822431,-2.26168224299065,-1.82737890834531
"94","FCEQ","Vanuatu",10.5,"Ikunala",,,"m",10,20.2,130.175,,19,14,15,6,"10",5,"10",6,"10","1","0","2","1","0","0","2",,,,,1,10.5,"m",,130.175,130.175,48,33,5,0,10.5,1,11.9205473390126,-0.645505260705599,-1.36364480485189,-1.86915887850467,-2.77570093457944,-0.17196261682243,-5.26168224299065,-4.94972859614187
"95","MT32","Vanuatu",10.5,"Ikunala",,,"f",10,20.3,144.78,,18,21,12,6,"11",5,"14",6,"10","1","0","1","1","0","0","1",,,,,1,10.5,"f",,144.78,144.78,51,39,6,0,10.5,1,9.68453768240254,-0.289479163306119,-1.36364480485189,1.13084112149533,3.22429906542056,-0.17196261682243,-5.26168224299065,-7.18573825275191
"96","FEJD","Vanuatu",11,"Ikunala",,,"f",10,21.5,134.62,,16,6,0,6,"10",5,"10",6,"10","1",,,"1",,,,,,,,4,11,"f",,134.62,134.62,22,22,2,0,11,4,11.8636762727424,-1.71358355290404,-1.36364480485189,-27.8691588785047,-13.7757009345794,0.32803738317757,-2.26168224299065,-5.00659966241209
"97","QFFC","Vanuatu",11,"Lenekel",,,"m",11,33,139.699999999999,,18,17,0,8,"10",5,"11",6,"10","1","1","2","1","0","0","2",,,,,5,11,"m",,139.699999999999,139.699999999999,35,35,9,3,11,5,16.9091247273406,0.77859912889232,-0.0948622472940447,-14.8691588785047,-0.77570093457944,0.32803738317757,-1.26168224299065,0.0388487921861547
"98","YMHC","Vanuatu",11.2,"Lenekel",,,"m",11,27.1,137.16,,16,22,14,6,"10",5,"13",6,"11","1","0","1","1","1",,,,,,,4,11.2,"m",,137.16,137.16,52,38,7,3,11.2,4,14.4050356687819,0.0665469340933605,-0.0948622472940447,2.13084112149533,2.22429906542056,0.528037383177569,-2.26168224299065,-2.46524026637255
"99","VHXF","Vanuatu",11.3,"Lenekel",,,"m",11,30.2,137.16,,20,19,20,6,"10",5,"10",6,"10","1","0","2","1",,,,,,,,4,11.3,"m",,137.16,137.16,59,39,8,1,11.3,4,16.0528441770189,0.42257303149284,-0.940717285665943,9.13084112149533,3.22429906542056,0.628037383177571,-2.26168224299065,-0.817431758135509
"100","KAA2","Vanuatu",11.5,"Lenaulaul",,,"m",11,25.8,165.1,,12,8,7,6,"10",5,"10",6,"10","1","0","1","1","0","0","1",,,,,3,11.5,"m",,165.1,165.1,27,20,10,1,11.5,3,9.46510768761182,1.1346252262918,-0.940717285665943,-22.8691588785047,-15.7757009345794,0.82803738317757,-3.26168224299065,-7.40516824754263
"101","P48Q","Vanuatu",11.5,"Ikunala",,,"m",10,20.2,127.635,,15,17,18,6,"10",5,"10",6,"10","1","2","2","1","0","0","2",,,,,1,11.5,"m",,127.635,127.635,50,32,9,0,11.5,1,12.3997178763398,0.77859912889232,-1.36364480485189,0.13084112149533,-3.77570093457944,0.82803738317757,-5.26168224299065,-4.47055805881466
"102","T4PN","Vanuatu",11.7,"Lenekel",,,"f",11,30.2,127,,17,15,20,6,"10",5,"10",6,"10","1","0","1","1","0","0","1",,,,,4,11.7,"f",,127,127,52,32,9,3,11.7,4,18.7240374480749,0.77859912889232,-0.0948622472940447,2.13084112149533,-3.77570093457944,1.02803738317757,-2.26168224299065,1.85376151292044
"103","Y49A","Vanuatu",12,"Lenekel",,,"f",12,38.2,149.86,,20,19,15,6,"10",5,"10",6,"10","1",,,"1",,,,,,,,7,12,"f",,149.86,149.86,54,39,7,7,12,7,17.009514053501,0.0665469340933605,1.59684782944975,4.13084112149533,3.22429906542056,1.32803738317757,0.738317757009346,0.139238118346508
"104","HU9V","Vanuatu",12.4,"Lenekel",,,"f",12,43.2,149.86,,12,19,13,6,"10",5,"10",6,"10","1","0","1","1",,,,,,,,5,12.4,"f",,149.86,149.86,44,31,6,7,12.4,5,19.2358902385142,-0.289479163306119,1.59684782944975,-5.86915887850467,-4.77570093457944,1.72803738317757,-1.26168224299065,2.36561430335972
"105","A9KV","Vanuatu",12.5,"Ikunala",,,"f",12,29.4,152.4,,18,20,8,6,"11",5,"10",7,"10","1",,,"1",,,,,,,,6,12.5,"f",,152.4,152.4,46,38,9,3,12.5,6,12.6583586500506,0.77859912889232,-0.0948622472940447,-3.86915887850467,2.22429906542056,1.82803738317757,-0.261682242990654,-4.21191728510382
"106","F49K","Vanuatu",12.5,"Ikunala",,,"f",12,13,127.635,,11,11,3,6,"10",5,"10",6,"10","1","2","1","1","0","0","1",,,,,1,12.5,"f",,127.635,127.635,25,22,5,2,12.5,1,7.98001645507016,-0.645505260705599,-0.517789766479994,-24.8691588785047,-13.7757009345794,1.82803738317757,-5.26168224299065,-8.89025948008429
"107","LPME","Vanuatu",12.9,"Lenekel",,,"m",12,36.7999999999999,139.699999999999,,18,16,17,7,"10",5,"10",6,"10","1","0","2","1","1","0","2",,,,,7,12.9,"m",,139.699999999999,139.699999999999,51,34,12,4,12.9,7,18.8562360595798,1.84667742109076,0.328065271891905,1.13084112149533,-1.77570093457944,2.22803738317757,0.738317757009346,1.98596012442533
